rank,bank,country,total_assets_us_b,balance_sheet
1,Industrial & Commercial Bank of China,China,"3,615.17",31-03-2017
2,China Construction Bank Corp,China,"3,149.25",31-03-2017
3,Agricultural Bank of China,China,"2,950.21",31-03-2017
4,Bank of China,China,"2,746.05",31-03-2017
5,Mitsubishi UFJ Financial Group,Japan,"2,713.44",31-03-2017
6,JPMorgan Chase & Co,USA,"2,546.29",31-03-2017
7,HSBC Holdings,UK,"2,416.47",31-03-2017
8,BNP Paribas,France,"2,348.65",31-03-2017
9,Bank of America,USA,"2,247.70",31-03-2017
10,Wells Fargo,USA,"1,951.56",31-03-2017
11,Japan Post Bank,Japan,"1,874.90",31-03-2017
12,Credit Agricole Group,France,"1,869.92",31-03-2017
13,China Development Bank,China,"1,831.86",31-03-2017
14,Citigroup Inc,USA,"1,821.64",31-03-2017
15,Mizuho Financial Group,Japan,"1,793.84",31-03-2017
16,Sumitomo Mitsui Financial Group,Japan,"1,769.54",31-03-2017
17,Deutsche Bank,Germany,"1,672.27",31-03-2017
18,Barclays PLC,UK,"1,502.15",31-03-2017
19,Societe Generale,France,"1,497.47",31-03-2017
20,Banco Santander,Spain,"1,444.85",31-03-2017
21,Groupe BPCE,France,"1,323.76",31-03-2017
22,Bank of Communications,China,"1,267.78",31-03-2017
23,Postal Savings Bank of China,China,"1,231.95",31-03-2017
24,Lloyds Banking Group,UK,"1,020.01",31-03-2017
25,Royal Bank of Scotland Group,UK,977.408,31-03-2017
26,Norinchukin Bank,Japan,957.372,31-03-2017
27,ING Groep NV,Netherlands,945.608,31-03-2017
28,UniCredit S.p.A.,Italy,941.622,31-03-2017
29,Toronto-Dominion Bank,Canada,941.293,31-03-2017
30,UBS Group AG,Switzerland,909.208,31-03-2017
31,Royal Bank of Canada,Canada,904.45,31-03-2017
32,Industrial Bank Co. Ltd,China,904.22,31-03-2017
33,Goldman Sachs Group,USA,894.069,31-03-2017
34,China Merchants Bank,China,871.052,31-03-2017
35,China Minsheng Banking Corp,China,864.655,31-03-2017
36,Shanghai Pudong Development Bank,China,854.937,31-03-2017
37,China CITIC Bank Corp,China,834.934,31-03-2017
38,Morgan Stanley,USA,832.391,31-03-2017
39,Credit Suisse Group,Switzerland,811.622,31-03-2017
40,Intesa Sanpaolo,Italy,790.271,31-03-2017
41,Credit Mutuel,France,782.37,31-03-2017
42,BBVA,Spain,768.607,31-03-2017
43,Commonwealth Bank of Australia,Australia,743.871,31-03-2017
44,Rabobank Group,Netherlands,707.842,31-03-2017
45,Nordea,Sweden,694.95,31-03-2017
46,Australia & New Zealand Banking Group,Australia,686.298,31-03-2017
47,Bank of Nova Scotia,Canada,665.286,31-03-2017
48,Standard Chartered Plc,UK,646.692,31-03-2017
49,Westpac Banking Corp,Australia,643.032,31-03-2017
50,European Investment Bank,Luxembourg,612.616,31-03-2017
51,National Australia Bank,Australia,604.935,31-03-2017
